art_nr|art_uvp
BGS10260|34,16
BGS10261|41,40
BGS10261|41,40
BGS10262|22,25
BGS10262|22,25
BGS10262|22,25
BGS10262|22,25
BGS10265|23,81
BGS10265|23,81
BGS10265|23,81
BGS10267|20,70
BGS10267|20,70
BGS10267|20,70
BGS10267|20,70
BGS10269|61,78
BGS10269|68,21
BGS10270|20,70
BGS10270|20,70
BGS10272|31,57
BGS10272|31,57
BGS10273|24,84
BGS10273|24,84
BGS10274|21,74
BGS10275|21,74
BGS10275|21,74
BGS10277|38,30
BGS10277|38,30
BGS10277|38,30
BGS10277|38,30
BGS10278|18,63
BGS10278|18,63
BGS10279|19,67
BGS10279|19,67
BGS10280|22,25
BGS10281|24,84
BGS10281|24,84
BGS10284|25,36
BGS10284|25,36
BGS10285|39,33
BGS10285|39,33
BGS10285|39,33
BGS10286|31,57
BGS10286|31,57
BGS10287|46,58
BGS10287|46,58
BGS10287|46,58
BGS10287|46,58
BGS10289|20,70
BGS10290|35,71
BGS10290|35,71
BGS10292|22,25
BGS10292|22,25
BGS10292|22,25
BGS10295|22,25
BGS10296|33,12
BGS10296|33,12
BGS10297|26,39
BGS10297|26,39
BGS10297|26,39
BGS10297|26,39
BGS10297|26,39
BGS10302|27,95
BGS10305|23,81
BGS10306|23,81
BGS10306|23,81
BGS10307|23,81
BGS10308|23,81
BGS10310|25,88
BGS10311|25,36
BGS10311|25,36
BGS10314|28,98
BGS10314|28,98
BGS10314|28,98
BGS10315|19,67
BGS10315|19,67
BGS10316|24,84
BGS10317|22,77
BGS10320|26,91
BGS10320|26,91
BGS10320|26,91
BGS10320|26,91
BGS10320|26,91
BGS10321|26,91
BGS10322|26,91
BGS10322|26,91
BGS10330|22,25
BGS10332|20,70
BGS10335|22,25
BGS10335|22,25
BGS10336|39,85
BGS10338|36,74
BGS10339|22,77
BGS10340|24,32
BGS10340|24,32
BGS10341|23,29
BGS10343|34,67
BGS10343|34,67
BGS10343|34,67
BGS10346|24,32
BGS10348|37,78
BGS10351|28,98
BGS10352|25,36
BGS10353|25,36
BGS10355|27,43
BGS10356|28,46
BGS10357|27,43
BGS10358|27,43
BGS10359|20,70
BGS10359|20,70
BGS10360|21,74
BGS10360|21,74
BGS10362|21,22
BGS10363|16,56
BGS10364|20,70
BGS10368|21,74
BGS10369|25,88
BGS10375|26,91
BGS10380|69,35
BGS10381|69,35
BGS10384|69,35
BGS10385|57,96
BGS10386|57,96
BGS10387|60,03
BGS10388|46,58
BGS10389|60,03
BGS10390|69,35
BGS10391|69,35
BGS10392|69,35
BGS10393|69,35
BGS10397|25,88
BGS10399|25,88
BGS10399|25,88
BGS10399|25,88
BGS10401|22,77
BGS10402|23,81
BGS10403|21,74
BGS10404|27,95
BGS10405|26,91
BGS10405|26,91
BGS10408|21,22
BGS10409|21,74
BGS10410|22,25
BGS10411|22,25
BGS10412|21,74
BGS10413|21,74
BGS10415|22,77
BGS10417|21,74
BGS10419|25,88
BGS10431|39,33
BGS10431|39,33
BGS10432|20,18
BGS10434|22,77
BGS10441|30,02
BGS10441|30,02
BGS10441|30,02
BGS10441|30,02
BGS10441|30,02
BGS10442|31,57
BGS10442|31,57
BGS10444|31,05
BGS10444|31,05
BGS10445|30,02
BGS10445|30,02
BGS10445|30,02
BGS10445|30,02
BGS10447|26,39
BGS10447|26,39
BGS10447|26,39
BGS10448|30,02
BGS10449|31,05
BGS10449|31,05
BGS10449|31,05
BGS10449|31,05
BGS10449|31,05
BGS10449|31,05
BGS10449|31,05
BGS10449|31,05
BGS10449|31,05
BGS10449|31,05
BGS10450|28,98
BGS10450|28,98
BGS10450|28,98
BGS10451|36,23
BGS10451|36,23
BGS10451|36,23
BGS10451|36,23
BGS10452|21,74
BGS10453|28,98
BGS10454|21,74
BGS10454|21,74
BGS10455|30,53
BGS10455|30,53
BGS10455|30,53
BGS10456|18,63
BGS10456|18,63
BGS10456|18,63
BGS10458|25,36
BGS10458|25,36
BGS10459|20,70
BGS10460|27,43
BGS10460|27,43
BGS10460|27,43
BGS10461|25,88
BGS10461|25,88
BGS10462|18,63
BGS10463|24,84
BGS10464|22,77
BGS10465|21,22
BGS10465|21,22
BGS10466|34,16
BGS10466|34,16
BGS10466|34,16
BGS10466|34,16
BGS10467|34,16
BGS10467|34,16
BGS10467|34,16
BGS10467|34,16
BGS10468|18,11
BGS10469|20,18
BGS10471|29,50
BGS10473|20,18
BGS10475|21,74
BGS10476|20,18
BGS10476|20,18
BGS10478|20,18
BGS10478|20,18
BGS10480|23,29
BGS10480|23,29
BGS10480|23,29
BGS10480|23,29
BGS10481|32,60
BGS10481|32,60
BGS10482|20,18
BGS10482|20,18
BGS10483|22,25
BGS10483|22,25
BGS10483|22,25
BGS10484|23,81
BGS10484|23,81
BGS10485|25,88
BGS10485|25,88
BGS10486|21,74
BGS10487|24,32
BGS10488|16,56
BGS10489|25,88
BGS10490|25,88
BGS10492|21,22
BGS10493|27,95
BGS10494|17,60
BGS10495|32,09
BGS10495|32,09
BGS10496|18,63
BGS10497|19,67
BGS10498|19,67
BGS10499|21,74
BGS10500|33,12
BGS10501|25,36
BGS10501|25,36
BGS10501|25,36
BGS10502|21,74
BGS10502|21,74
BGS10502|21,74
BGS10502|21,74
BGS10503|29,50
BGS10503|29,50
BGS10504|24,84
BGS10505|36,23
BGS10506|51,75
BGS10507|35,19
BGS10507|35,19
BGS10508|35,19
BGS10508|35,19
BGS10509|35,19
BGS10509|35,19
BGS10510|15,53
BGS10510|15,53
BGS10511|21,22
BGS10511|21,22
BGS10512|21,22
BGS10512|21,22
BGS10513|62,10
BGS10514|62,10
BGS10515|25,88
BGS10516|25,88
BGS10517|25,88
BGS10518|31,05
BGS10519|27,95
BGS10520|33,12
BGS10520|33,12
BGS10520|33,12
BGS10521|77,63
BGS10522|22,77
