art_nr|art_ctcid|art_kat|art_ukat|art_uvp|art_bild
BA71084||0|0|99.79|
BA71085||0|0|91.65|
BA71086||0|0|91.65|
BA71087||0|0|99.39|
BFC001||0|0|79.70|
BFC002||0|0|116.44|
BFC004||0|0|93.15|
BFC007||0|0|103.50|
BFC008||0|0|103.50|
BFC010||0|0|181.13|
BFC011||0|0|111.26|
BFC015||0|0|124.20|
BFC016||0|0|103.50|
BFC017||0|0|139.73|
BFC020||0|0|93.15|
BFC025||0|0|113.85|
BFC026||0|0|113.85|
BFC027||0|0|119.03|
BFC028||0|0|108.68|
BFC029||0|0|170.78|
BFC030||0|0|103.50|
BFC035||0|0|113.85|
BFC036||0|0|119.03|
BFC037||0|0|119.03|
BFC038||0|0|119.03|
BFC039||0|0|129.38|
BFC040||0|0|150.08|
BFC041||0|0|155.25|
BFC043||0|0|113.85|
BFC050||0|0|289.80|
BFC051||0|0|227.70|
BFC053||0|0|227.70|
BFC055||0|0|103.50|
BFC060||0|0|151.75|
BFC068||0|0|82.80|
BFC069||0|0|174.92|
BFC070||0|0|113.85|
BFC071||0|0|147.49|
BFC074||0|0|119.03|
BFC075||0|0|113.85|
BFC077||0|0|181.13|
BFC080||0|0|155.25|
BFC082||0|0|153.18|
BFC083||0|0|147.49|
BFC087||0|0|119.03|
BFC088||0|0|128.33|
BFC096||0|0|166.62|
BFC104||0|0|216.00|
BFC108||0|0|140.50|
BGS10001||0|0|24.84|
BGS10002||0|0|25.88|
BGS10003||0|0|28.98|
BGS10004||0|0|25.88|
BGS10005||0|0|21.74|
BGS10006||0|0|23.29|
BGS10007||0|0|23.29|
BGS10016||0|0|24.84|
BGS10017||0|0|46.58|
BGS10019||0|0|30.02|
BGS10020||0|0|33.12|
BGS10023||0|0|20.70|
BGS10024||0|0|25.36|
BGS10025||0|0|25.36|
BGS10028||0|0|20.70|
BGS10029||0|0|18.63|
BGS10030||0|0|19.67|
BGS10032||0|0|20.70|
BGS10033||0|0|25.88|
BGS10034||0|0|25.88|
BGS10039||0|0|19.67|
BGS10040||0|0|25.88|
BGS10049||0|0|31.05|
BGS10050||0|0|21.74|
BGS10052||0|0|31.05|
BGS10053||0|0|21.74|
BGS10055||0|0|41.40|
BGS10056||0|0|35.19|
BGS10060||0|0|27.95|
BGS10062||0|0|27.95|
BGS10064||0|0|24.84|
BGS10065||0|0|24.84|
BGS10067||0|0|25.88|
BGS10068||0|0|28.98|
BGS10069||0|0|34.16|
BGS10072||0|0|19.15|
BGS10073||0|0|19.15|
BGS10075||0|0|26.39|
BGS10077||0|0|51.75|
BGS10079||0|0|24.84|
BGS10082||0|0|51.75|
BGS10084||0|0|26.39|
BGS10085||0|0|22.77|
BGS10087||0|0|30.02|
BGS10090||0|0|32.09|
BGS10091||0|0|30.02|
BGS10095||0|0|29.50|
BGS10101||0|0|33.12|
BGS10102||0|0|20.70|
BGS10103||0|0|19.67|
BGS10104||0|0|45.54|
BGS10105||0|0|26.91|
BGS10107||0|0|20.70|
BGS10108||0|0|18.11|
BGS10109||0|0|24.84|
BGS10110||0|0|32.60|
BGS10114||0|0|23.29|
BGS10119||0|0|28.98|
BGS10123||0|0|32.60|
BGS10128||0|0|26.91|
BGS10129||0|0|25.88|
BGS10134||0|0|31.05|
BGS10139||0|0|27.95|
BGS10140||0|0|24.84|
BGS10141||0|0|23.81|
BGS10142||0|0|31.05|
BGS10143||0|0|30.02|
BGS10146||0|0|27.95|
BGS10151||0|0|22.77|
BGS10156||0|0|19.15|
BGS10158||0|0|22.77|
BGS10161||0|0|28.46|
BGS10162||0|0|28.98|
BGS10163||0|0|28.98|
BGS10172||0|0|24.84|
BGS10173||0|0|32.09|
BGS10174||0|0|25.88|
BGS10175||0|0|25.88|
BGS10176||0|0|21.74|
BGS10177||0|0|23.29|
BGS10178||0|0|34.16|
BGS10181||0|0|32.09|
BGS10183||0|0|21.74|
BGS10189||0|0|72.45|
BGS10190||0|0|72.45|
BGS10191||0|0|72.45|
BGS10192||0|0|72.45|
BGS10196||0|0|83.84|
BGS10197||0|0|83.84|
BGS10198||0|0|77.63|
BGS10199||0|0|30.02|
BGS10200||0|0|30.02|
BGS10201||0|0|83.84|
BGS10202||0|0|83.84|
BGS10203||0|0|104.54|
BGS10205||0|0|92.12|
BGS10206||0|0|92.12|
BGS10207||0|0|24.84|
BGS10208||0|0|28.98|
BGS10209||0|0|36.23|
BGS10210||0|0|36.23|
BGS10211||0|0|36.23|
BGS10212||0|0|36.23|
BGS10213||0|0|37.26|
BGS10214||0|0|37.26|
BGS10221||0|0|32.09|
BGS10224||0|0|32.09|
BGS10232||0|0|31.05|
BGS10236||0|0|21.74|
BGS10238||0|0|34.16|
BGS10240||0|0|32.60|
BGS10241||0|0|32.60|
BGS10242||0|0|25.88|
BGS10243||0|0|24.84|
BGS10244||0|0|24.84|
BGS10245||0|0|35.19|
BGS10253||0|0|25.88|
BGS10258||0|0|21.22|
BGS10260||0|0|34.16|
BGS10261||0|0|41.40|
BGS10262||0|0|22.25|
BGS10265||0|0|23.81|
BGS10267||0|0|20.70|
BGS10269||0|0|68.21|
BGS10270||0|0|20.70|
BGS10272||0|0|31.57|
BGS10273||0|0|24.84|
BGS10274||0|0|21.74|
BGS10275||0|0|21.74|
BGS10277||0|0|38.30|
BGS10278||0|0|18.63|
BGS10279||0|0|19.67|
BGS10280||0|0|22.25|
BGS10281||0|0|24.84|
BGS10284||0|0|25.36|
BGS10285||0|0|39.33|
BGS10286||0|0|31.57|
BGS10287||0|0|46.58|
BGS10289||0|0|20.70|
BGS10290||0|0|35.71|
BGS10292||0|0|22.25|
BGS10295||0|0|22.25|
BGS10296||0|0|33.12|
BGS10297||0|0|26.39|
BGS10302||0|0|27.95|
BGS10305||0|0|23.81|
BGS10306||0|0|23.81|
BGS10307||0|0|23.81|
BGS10308||0|0|23.81|
BGS10310||0|0|25.88|
BGS10311||0|0|25.36|
BGS10314||0|0|28.98|
BGS10315||0|0|19.67|
BGS10316||0|0|24.84|
BGS10317||0|0|22.77|
BGS10320||0|0|26.91|
BGS10321||0|0|26.91|
BGS10322||0|0|26.91|
BGS10330||0|0|22.25|
BGS10332||0|0|20.70|
BGS10335||0|0|22.25|
BGS10336||0|0|39.85|
BGS10338||0|0|36.74|
BGS10339||0|0|22.77|
BGS10340||0|0|24.32|
BGS10341||0|0|23.29|
BGS10343||0|0|34.67|
BGS10346||0|0|24.32|
BGS10348||0|0|37.78|
BGS10351||0|0|28.98|
BGS10352||0|0|25.36|
BGS10353||0|0|25.36|
BGS10355||0|0|27.43|
BGS10356||0|0|28.46|
BGS10357||0|0|27.43|
BGS10358||0|0|27.43|
BGS10359||0|0|20.70|
BGS10360||0|0|21.74|
BGS10362||0|0|21.22|
BGS10363||0|0|16.56|
BGS10364||0|0|20.70|
BGS10368||0|0|21.74|
BGS10369||0|0|25.88|
BGS10375||0|0|26.91|
BGS10380||0|0|69.35|
BGS10381||0|0|69.35|
BGS10384||0|0|69.35|
BGS10385||0|0|57.96|
BGS10386||0|0|57.96|
BGS10387||0|0|60.03|
BGS10388||0|0|46.58|
BGS10389||0|0|60.03|
BGS10390||0|0|69.35|
BGS10391||0|0|69.35|
BGS10392||0|0|69.35|
BGS10393||0|0|69.35|
BGS10397||0|0|25.88|
BGS10399||0|0|25.88|
BGS10401||0|0|22.77|
BGS10402||0|0|23.81|
BGS10403||0|0|21.74|
BGS10404||0|0|27.95|
BGS10405||0|0|26.91|
BGS10408||0|0|21.22|
BGS10409||0|0|21.74|
BGS10410||0|0|22.25|
BGS10411||0|0|22.25|
BGS10412||0|0|21.74|
BGS10413||0|0|21.74|
BGS10415||0|0|22.77|
BGS10417||0|0|21.74|
BGS10419||0|0|25.88|
BGS10431||0|0|39.33|
BGS10432||0|0|20.18|
BGS10434||0|0|22.77|
BGS10441||0|0|30.02|
BGS10442||0|0|31.57|
BGS10444||0|0|31.05|
BGS10445||0|0|30.02|
BGS10447||0|0|26.39|
BGS10448||0|0|30.02|
BGS10449||0|0|31.05|
BGS10450||0|0|28.98|
BGS10451||0|0|36.23|
BGS10452||0|0|21.74|
BGS10453||0|0|28.98|
BGS10454||0|0|21.74|
BGS10455||0|0|30.53|
BGS10456||0|0|18.63|
BGS10458||0|0|25.36|
BGS10459||0|0|20.70|
BGS10460||0|0|27.43|
BGS10461||0|0|25.88|
BGS10462||0|0|18.63|
BGS10463||0|0|24.84|
BGS10464||0|0|22.77|
BGS10465||0|0|21.22|
BGS10466||0|0|34.16|
BGS10467||0|0|34.16|
BGS10468||0|0|18.11|
BGS10469||0|0|20.18|
BGS10471||0|0|29.50|
BGS10473||0|0|20.18|
BGS10475||0|0|21.74|
BGS10476||0|0|20.18|
BGS10478||0|0|20.18|
BGS10480||0|0|23.29|
BGS10481||0|0|32.60|
BGS10482||0|0|20.18|
BGS10483||0|0|22.25|
BGS10484||0|0|23.81|
BGS10485||0|0|25.88|
BGS10486||0|0|21.74|
BGS10487||0|0|24.32|
BGS10488||0|0|16.56|
BGS10489||0|0|25.88|
BGS10490||0|0|25.88|
BGS10492||0|0|21.22|
BGS10493||0|0|27.95|
BGS10494||0|0|17.60|
BGS10495||0|0|32.09|
BGS10496||0|0|18.63|
BGS10497||0|0|19.67|
BGS10498||0|0|19.67|
BGS10499||0|0|21.74|
BGS10500||0|0|33.12|
BGS10501||0|0|25.36|
BGS10502||0|0|21.74|
BGS10503||0|0|29.50|
BGS10504||0|0|24.84|
BGS10505||0|0|36.23|
BGS10506||0|0|51.75|
BGS10507||0|0|35.19|
BGS10508||0|0|35.19|
BGS10509||0|0|35.19|
BGS10510||0|0|15.53|
BGS10511||0|0|21.22|
BGS10512||0|0|21.22|
BGS10513||0|0|62.10|
BGS10514||0|0|62.10|
BGS10515||0|0|25.88|
BGS10516||0|0|25.88|
BGS10517||0|0|25.88|
BGS10518||0|0|31.05|
BGS10519||0|0|27.95|
BGS10520||0|0|33.12|
BGS10521||0|0|77.63|
BGS10522||0|0|22.77|
BGS10523||0|0|77.63|
BGS10524||0|0|26.39|
BGS10525||0|0|20.70|
BGS10527||0|0|25.88|
BGS10528||0|0|37.78|
BGS10529||0|0|36.23|
BGS10530||0|0|25.88|
BGS10531||0|0|41.40|
BGS10532||0|0|19.67|
BGS10533||0|0|57.96|
BGS10534||0|0|29.50|
BGS10535||0|0|22.25|
BGS10536||0|0|24.32|
BGS10538||0|0|36.23|
BGS10539||0|0|42.44|
BGS10540||0|0|22.77|
BGS10541||0|0|54.86|
BGS10542||0|0|54.86|
BGS10543||0|0|60.03|
BGS10545||0|0|26.91|
BGS10546||0|0|26.91|
BGS10547||0|0|26.39|
BGS10548||0|0|31.05|
BGS10549||0|0|25.36|
BGS10550||0|0|28.46|
BGS10551||0|0|21.74|
BGS10552||0|0|26.39|
BGS10553||0|0|32.60|
BGS10554||0|0|96.26|
BGS10555||0|0|26.39|
BGS10556||0|0|30.02|
BGS10557||0|0|30.02|
BGS10558||0|0|43.99|
BGS10559||0|0|37.26|
BGS10560||0|0|25.36|
BGS10561||0|0|28.98|
BGS10563||0|0|35.19|
BGS10564||0|0|61.07|
BGS10565||0|0|28.98|
BGS10566||0|0|41.40|
BGS10567||0|0|30.02|
BGS10569||0|0|24.32|
BGS10573||0|0|32.60|
BGS10574||0|0|27.95|
BGS10575||0|0|26.91|
BGS10576||0|0|56.93|
BGS10577||0|0|56.93|
BGS10578||0|0|94.19|
BGS10579||0|0|102.47|
BGS10582||0|0|23.81|
BGS10583||0|0|19.15|
BGS10584||0|0|46.58|
BGS10586||0|0|23.81|
BGS10587||0|0|23.81|
BGS10588||0|0|28.98|
BGS10589||0|0|21.22|
BGS10590||0|0|21.22|
BGS10591||0|0|53.82|
BGS10593||0|0|63.14|
BGS10594||0|0|63.14|
BGS10595||0|0|71.42|
BGS10601||0|0|71.42|
BGS10602||0|0|75.56|
BGS10603||0|0|75.56|
BGS10604||0|0|21.74|
BGS10605||0|0|21.74|
BGS10606||0|0|86.94|
BGS10607||0|0|46.58|
BGS10608||0|0|71.42|
BGS10609||0|0|71.42|
BGS10610||0|0|25.36|
BGS10611||0|0|21.74|
BGS10612||0|0|18.63|
BGS10614||0|0|20.18|
BGS10616||0|0|21.74|
BGS10617||0|0|28.46|
BGS10618||0|0|34.16|
BGS10622||0|0|33.12|
BGS10624||0|0|36.23|
BGS10625||0|0|28.46|
BGS10626||0|0|24.84|
BGS10628||0|0|21.74|
BGS10629||0|0|36.23|
BGS10630||0|0|19.67|
BGS10631||0|0|22.25|
BGS10633||0|0|72.45|
BGS10634||0|0|72.45|
BGS10635||0|0|72.45|
BGS10636||0|0|23.29|
BGS10637||0|0|23.29|
BGS10638||0|0|30.53|
BGS10639||0|0|30.53|
BGS10640||0|0|31.05|
BGS10641||0|0|34.67|
BGS10642||0|0|32.60|
BGS10643||0|0|17.60|
BGS10644||0|0|24.84|
BGS10645||0|0|20.18|
BGS10646||0|0|77.63|
BGS10647||0|0|77.63|
BGS10649||0|0|27.95|
BGS10650||0|0|27.95|
BGS10651||0|0|19.67|
BGS10652||0|0|21.22|
BGS10653||0|0|21.22|
BGS10654||0|0|20.18|
BGS10655||0|0|27.95|
BGS10656||0|0|18.11|
BGS10657||0|0|19.67|
BGS10658||0|0|21.74|
BGS10659||0|0|20.18|
BGS10660||0|0|20.18|
BGS10661||0|0|21.22|
BGS10663||0|0|23.29|
BGS10664||0|0|20.70|
BGS10665||0|0|28.46|
BGS10666||0|0|28.98|
BGS10667||0|0|34.16|
BGS10668||0|0|21.22|
BGS10670||0|0|29.50|
BGS10674||0|0|22.25|
BGS10675||0|0|18.63|
BGS10676||0|0|17.60|
BGS10677||0|0|28.46|
BGS10678||0|0|46.58|
BGS10679||0|0|31.05|
BGS10680||0|0|46.58|
BGS10681||0|0|46.58|
BGS10682||0|0|50.72|
BGS10683||0|0|52.79|
BGS10684||0|0|52.79|
BGS10685||0|0|32.60|
BGS10686||0|0|47.09|
BGS10688||0|0|28.98|
BGS10689||0|0|25.88|
BGS10692||0|0|71.42|
BGS10693||0|0|71.42|
BGS10694||0|0|71.42|
BGS10695||0|0|71.42|
BGS10696||0|0|20.70|
BGS10697||0|0|32.09|
BGS10698||0|0|17.08|
BGS10699||0|0|17.60|
BGS10704||0|0|40.88|
BGS10705||0|0|30.53|
BGS10706||0|0|30.53|
BGS10710||0|0|22.25|
BGS10711||0|0|21.74|
BGS10712||0|0|21.74|
BGS10713||0|0|24.32|
BGS10715||0|0|53.30|
BGS10719||0|0|20.18|
BGS10724||0|0|25.88|
BGS10725||0|0|25.88|
BGS10726||0|0|25.88|
BGS10729||0|0|22.77|
BGS10730||0|0|30.53|
BGS10731||0|0|30.53|
BGS10732||0|0|62.10|
BGS10733||0|0|62.10|
BGS10734||0|0|38.81|
BGS10735||0|0|101.43|
BGS10736||0|0|52.79|
BGS10737||0|0|31.05|
BGS10738||0|0|20.70|
BGS10739||0|0|20.70|
BGS10740||0|0|20.70|
BGS10741||0|0|41.40|
BGS10742||0|0|21.74|
BGS10743||0|0|21.74|
BGS10744||0|0|22.77|
BGS10745||0|0|22.25|
BGS10746||0|0|23.29|
BGS10747||0|0|20.70|
BGS10748||0|0|24.32|
BGS10749||0|0|21.74|
BGS10750||0|0|19.15|
BGS10751||0|0|22.77|
BGS10752||0|0|23.29|
BGS10753||0|0|23.29|
BGS10754||0|0|23.81|
BGS10755||0|0|20.18|
BGS10756||0|0|27.95|
BGS10757||0|0|22.77|
BGS10758||0|0|20.70|
BGS10759||0|0|21.22|
BGS10760||0|0|21.74|
BGS10761||0|0|28.46|
BGS10762||0|0|30.53|
BGS10763||0|0|39.33|
BGS10764||0|0|28.98|
BGS10765||0|0|22.25|
BGS10766||0|0|100.91|
BGS10767||0|0|61.07|
BGS10768||0|0|24.32|
BGS10769||0|0|24.32|
BGS10770||0|0|22.25|
BGS10771||0|0|22.25|
BGS10774||0|0|19.67|
BGS10775||0|0|16.56|
BGS10776||0|0|31.05|
BGS10777||0|0|25.88|
BGS10778||0|0|32.09|
BGS10779||0|0|30.02|
BGS10780||0|0|25.62|
BGS10781||0|0|22.25|
BGS10783||0|0|23.29|
BGS10784||0|0|27.95|
BGS10785||0|0|22.77|
BGS10786||0|0|31.52|
BGS10788||0|0|22.25|
BGS10789||0|0|21.74|
BGS10790||0|0|26.39|
BGS10791||0|0|22.77|
BGS10792||0|0|30.02|
BGS10793||0|0|26.91|
BGS10794||0|0|22.77|
BGS10795||0|0|24.50|
BGS10796||0|0|24.50|
BGS10797||0|0|21.74|
BGS10798||0|0|24.32|
BGS10799||0|0|23.29|
BGS10800||0|0|22.77|
BGS10801||0|0|29.50|
BGS10802||0|0|33.64|
BGS10803||0|0|32.00|
BGS10804||0|0|56.93|
BGS10805||0|0|82.80|
BGS10806||0|0|63.14|
BGS10807||0|0|63.14|
BGS10809||0|0|27.95|
BGS10810||0|0|20.18|
BGS10811||0|0|25.88|
BGS10812||0|0|25.88|
BGS10813||0|0|25.88|
BGS10814||0|0|27.43|
BGS10815||0|0|35.19|
BGS10816||0|0|53.82|
BGS10817||0|0|49.68|
BGS10818||0|0|35.45|
BGS10819||0|0|30.02|
BGS10820||0|0|41.66|
BGS10821||0|0|30.53|
BGS10822||0|0|21.74|
BGS10823||0|0|35.71|
BGS10824||0|0|26.91|
BGS10825||0|0|26.39|
BGS10826||0|0|19.67|
BGS10827||0|0|19.67|
BGS10828||0|0|22.25|
BGS10829||0|0|27.50|
BGS10830||0|0|21.22|
BGS10831||0|0|21.22|
BGS10832||0|0|25.88|
BGS10833||0|0|25.88|
BGS10834||0|0|25.88|
BGS10835||0|0|22.77|
BGS10836||0|0|24.84|
BGS10837||0|0|22.77|
BGS10838||0|0|21.74|
BGS10839||0|0|24.84|
BGS10840||0|0|23.81|
BGS10841||0|0|46.58|
BGS10842||0|0|59.51|
BGS10843||0|0|23.81|
BGS10844||0|0|49.16|
BGS10845||0|0|62.10|
